IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
006179-14012023,14-Jan-23,2023,07:41:43,7,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,W9,0.0,8400514,E09000033,WESTMINSTER,Westminster,E05013792,ABBEY ROAD,ABBEY ROAD,,,526350,182550,,,London,Paddington,189.0,Paddington,192.0,Paddington,3.0,5.0,5,60,364,1.0
200408-21122023,21-Dec-23,2023,14:17:36,14,Special Service,Special Service,Effecting entry/exit,Non Residential,Multi-Storey car park,Within same building,N1C 4BD,N1C,5192972.0,20400126,E09000007,CAMDEN,Camden,E05013666,KING'S CROSS,KING'S CROSS,529909.0,183756.0,529950,183750,51.5377677,-0.128255,London,Euston,394.0,Kentish Town,,,1.0,1.0,1,60,388,1.0
114445-30072023,30-Jul-23,2023,11:47:54,11,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW2,0.0,21900773,E09000022,LAMBETH,Lambeth,E05014098,BRIXTON WINDRUSH,BRIXTON WINDRUSH,,,531150,175150,,,London,Brixton,157.0,Brixton,162.0,Brixton,1.0,2.0,2,60,388,1.0
137233-07092023,07-Sep-23,2023,13:06:00,13,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,W8 6SU,W8,217125184.0,21700648,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009388,ABINGDON,ABINGDON,525484.0,179511.0,525450,179550,51.50062386,-0.19352262,London,Kensington,328.0,Hammersmith,,,1.0,1.0,1,60,388,1.0
168007-27102023,27-Oct-23,2023,20:31:55,20,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W1G,0.0,8401108,E09000033,WESTMINSTER,Westminster,E05013801,MARYLEBONE,MARYLEBONE,,,528350,181950,,,London,Euston,,,,,1.0,1.0,1,60,388,2.0
144232-18092023,18-Sep-23,2023,03:39:30,3,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE8,0.0,20800449,E09000011,GREENWICH,Greenwich,E05014081,GREENWICH PARK,GREENWICH PARK,,,537550,176950,,,London,Greenwich,187.0,Greenwich,280.0,Deptford,2.0,2.0,2,60,388,1.0
034129-09032023,09-Mar-23,2023,21:27:00,21,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW9,0.0,20204265,E09000005,BRENT,Brent,E05013508,QUEENSBURY,QUEENSBURY,,,518950,189350,,,London,Stanmore,220.0,Stanmore,,,1.0,1.0,1,60,364,1.0
133544-01092023,01-Sep-23,2023,18:35:26,18,Fire,Secondary Fire,,Outdoor,Hedge,On land associated with building,RM7 0NS,RM7,10091578201.0,21301569,E09000016,HAVERING,Havering,E05013980,RUSH GREEN & CROWLANDS,RUSH GREEN & CROWLANDS,550446.0,187498.0,550450,187450,51.56629502,0.169259585,London,Dagenham,258.0,Dagenham,,,1.0,1.0,1,60,388,1.0
116558-03082023,03-Aug-23,2023,06:06:52,6,Special Service,Special Service,No action (not false alarm),Non Residential,Single shop ,Correct incident location,NW3 1QE,NW3,5011057.0,20400153,E09000007,CAMDEN,Camden,E05013659,HAMPSTEAD TOWN,HAMPSTEAD TOWN,526432.0,185728.0,526450,185750,51.5562857,-0.1776422,London,West Hampstead,402.0,West Hampstead,,,1.0,1.0,1,60,388,1.0
054758-20042023,20-Apr-23,2023,15:07:15,15,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Within same building,,TW14,0.0,21501381,E09000018,HOUNSLOW,Hounslow,E05013613,FELTHAM NORTH,FELTHAM NORTH,,,510750,174150,,,London,Feltham,137.0,Feltham,160.0,Feltham,2.0,3.0,3,71,459,2.0
108512-20072023,20-Jul-23,2023,06:08:53,6,Special Service,Special Service,Effecting entry/exit,Non Residential,Takeaway/ fast food ,Within same building,N4 2JS,N4,100023184933.0,20900142,E09000012,HACKNEY,Hackney,E05009367,BROWNSWOOD,BROWNSWOOD,531881.0,186411.0,531850,186450,51.56117647,-0.098834245,London,Holloway,348.0,Holloway,,,1.0,1.0,1,60,388,1.0
159672-13102023,13-Oct-23,2023,16:43:22,16,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,SE27,0.0,21901036,E09000022,LAMBETH,Lambeth,E05014119,WEST DULWICH,WEST DULWICH,,,531950,172350,,,London,West Norwood,527.0,Brixton,,,1.0,1.0,1,60,388,1.0
063077-06052023,06-May-23,2023,07:03:14,7,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N4,0.0,20950238,E09000012,HACKNEY,Hackney,E05009387,WOODBERRY DOWN,WOODBERRY DOWN,,,532650,187850,,,London,Stoke Newington,,,,,1.0,1.0,1,60,388,1.0
128893-24082023,24-Aug-23,2023,19:25:47,19,False Alarm,AFA,,Non Residential,Large supermarket ,Within same building,RM11 1TP,RM11,10091579998.0,21300416,E09000016,HAVERING,Havering,E05013982,ST. ANDREW'S,ST. ANDREW'S,553650.0,187278.0,553650,187250,51.56346039,0.215352565,London,Hornchurch,156.0,Hornchurch,,,1.0,1.0,1,60,388,1.0
047022-05042023,05-Apr-23,2023,03:01:44,3,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,,E17,0.0,22840700,E09000031,WALTHAM FOREST,Waltham Forest,E05013900,UPPER WALTHAMSTOW,UPPER WALTHAMSTOW,,,538850,190550,,,London,Walthamstow,367.0,Walthamstow,,,1.0,1.0,1,60,388,1.0
095320-28062023,28-Jun-23,2023,08:20:28,8,Special Service,Special Service,Lift Release,Non Residential,Underground car park,Correct incident location,WC2H 9HZ,WC2H,100023432323.0,8401192,E09000033,WESTMINSTER,Westminster,E05013806,ST. JAMES'S,ST. JAMES'S,530237.0,181120.0,530250,181150,51.514012,-0.124502,London,Soho,,,,,1.0,1.0,1,60,388,1.0
047586-06042023,06-Apr-23,2023,04:43:05,4,Special Service,Special Service,Hazardous Materials incident,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E10,0.0,22864225,E09000031,WALTHAM FOREST,Waltham Forest,E05013896,LEYTON,LEYTON,,,537550,186450,,,London,Leyton,228.0,Leyton,,,1.0,1.0,1,60,388,1.0
111757-25072023,25-Jul-23,2023,21:57:26,21,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,CR0 2AL,CR0,100020626715.0,20501468,E09000008,CROYDON,Croydon,E05011468,FAIRFIELD,FAIRFIELD,532530.0,166527.0,532550,166550,51.38233473,-0.096926592,London,Croydon,312.0,Croydon,,,1.0,1.0,1,60,388,1.0
097857-02072023,02-Jul-23,2023,16:25:21,16,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W8,0.0,21700166,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009388,ABINGDON,ABINGDON,,,525350,178850,,,London,Kensington,227.0,Kensington,277.0,Hammersmith,2.0,2.0,2,60,388,1.0
068110-15052023,15-May-23,2023,19:21:52,19,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,RM2,0.0,21301383,E09000016,HAVERING,Havering,E05013985,SQUIRREL'S HEATH,SQUIRREL'S HEATH,,,552650,189750,,,London,Romford,248.0,Romford,276.0,Harold Hill,2.0,2.0,2,60,388,1.0
202243-24122023,24-Dec-23,2023,19:36:11,19,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,EN3 4SN,EN3,207042753.0,20702418,E09000010,ENFIELD,Enfield,E05013689,PONDERS END,PONDERS END,535658.0,195716.0,535650,195750,51.64389441,-0.040782455,London,Enfield,412.0,Enfield,,,1.0,1.0,1,60,388,1.0
164576-21102023,21-Oct-23,2023,17:47:52,17,False Alarm,AFA,,Non Residential,Shopping Centre ,Correct incident location,BR1 1TS,BR1,10070002840.0,20302608,E09000006,BROMLEY,Bromley,E05013991,BROMLEY TOWN,BROMLEY TOWN,540414.0,168958.0,540450,168950,51.40227968,0.017241919,London,Bromley,203.0,Bromley,,,1.0,1.0,1,60,388,1.0
160581-15102023,15-Oct-23,2023,02:09:23,2,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E14,0.0,22701322,E09000030,TOWER HAMLETS,Tower Hamlets,E05009326,LIMEHOUSE,LIMEHOUSE,,,536950,180950,,,London,Poplar,219.0,Poplar,254.0,Millwall,2.0,2.0,2,60,388,1.0
103310-11072023,11-Jul-23,2023,11:49:21,11,False Alarm,AFA,,Non Residential,Hospital ,Within same building,BR3 3QL,BR3,100022894315.0,20300876,E09000006,BROMLEY,Bromley,E05013999,KELSEY & EDEN PARK,KELSEY & EDEN PARK,536898.0,169191.0,536850,169150,51.4052306,-0.0331823,London,Beckenham,355.0,Woodside,,,1.0,1.0,1,60,388,1.0
203583-27122023,27-Dec-23,2023,09:29:26,9,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW8,0.0,22903805,E09000032,WANDSWORTH,Wandsworth,E05014019,SHAFTESBURY & QUEENSTOWN,SHAFTESBURY & QUEENSTOWN,,,529350,176850,,,London,Clapham,268.0,Clapham,288.0,Lambeth,2.0,3.0,3,60,388,1.0
187304-29112023,29-Nov-23,2023,10:49:31,10,False Alarm,AFA,,Non Residential,College/University ,Within same building,EN3 5HA,EN3,207184334.0,20702265,E09000010,ENFIELD,Enfield,E05013674,BRIMSDOWN,BRIMSDOWN,535293.0,196686.0,535250,196650,51.65269846,-0.045686497,London,Enfield,211.0,Enfield,,,1.0,1.0,1,60,388,1.0
109232-21072023,21-Jul-23,2023,08:13:47,8,False Alarm,False alarm - Good intent,,Non Residential,Multi-Storey car park,Correct incident location,TW6 1RT,TW6,100023405885.0,21400527,E09000017,HILLINGDON,Hillingdon,E05013570,HEATHROW VILLAGES,HEATHROW VILLAGES,507338.0,175984.0,507350,175950,51.472649,-0.4559264,London,Heathrow,487.0,Hayes,552.0,Heathrow,2.0,2.0,2,60,388,1.0
135655-05092023,05-Sep-23,2023,06:28:28,6,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,EN3,0.0,20702265,E09000010,ENFIELD,Enfield,E05013675,BULLSMOOR,BULLSMOOR,,,535950,199450,,,London,Enfield,229.0,Enfield,352.0,Enfield,1.0,2.0,2,60,388,1.0
168780-29102023,29-Oct-23,2023,03:23:46,3,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW2,0.0,21901408,E09000022,LAMBETH,Lambeth,E05014097,BRIXTON RUSH COMMON,BRIXTON RUSH COMMON,,,531250,174250,,,London,West Norwood,,,,,1.0,1.0,1,60,388,1.0
022716-14022023,14-Feb-23,2023,18:33:55,18,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,IG5,0.0,22305268,E09000026,REDBRIDGE,Redbridge,E05011243,FULLWELL,FULLWELL,,,543350,190850,,,London,Hainault,408.0,Hainault,,,1.0,1.0,1,60,364,1.0
136446-06092023,06-Sep-23,2023,11:44:39,11,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,DA8 2LE,DA8,10011845466.0,20100434,E09000004,BEXLEY,Bexley,E05011231,SLADE GREEN & NORTHEND,SLADE GREEN & NORTHEND,553662.0,177885.0,553650,177850,51.47906323,0.211431388,London,Erith,414.0,Erith,510.0,Plumstead,3.0,3.0,3,60,388,1.0
135552-04092023,04-Sep-23,2023,23:48:59,23,Special Service,Special Service,No action (not false alarm),Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,N17,0.0,21105129,E09000014,HARINGEY,Haringey,E05013602,TOTTENHAM HALE,TOTTENHAM HALE,,,534450,190250,,,London,Tottenham,257.0,Tottenham,,,1.0,1.0,1,60,388,2.0
203485-27122023,27-Dec-23,2023,01:09:15,1,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,E6,0.0,22201178,E09000025,NEWHAM,Newham,E05013910,EAST HAM SOUTH,EAST HAM SOUTH,,,543050,182850,,,London,East Ham,197.0,East Ham,,,1.0,1.0,1,60,388,1.0
062430-05052023,05-May-23,2023,00:46:21,0,Special Service,Special Service,Assist other agencies,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W9,0.0,8400514,E09000033,WESTMINSTER,Westminster,E05013800,MAIDA VALE,MAIDA VALE,,,525750,183150,,,London,Paddington,265.0,Paddington,,,1.0,1.0,1,60,388,1.0
183573-23112023,23-Nov-23,2023,00:47:56,0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,On motorway / elevated road,UB7 9NA,UB7,768010212.0,21400366,E09000017,HILLINGDON,Hillingdon,E05013581,WEST DRAYTON,WEST DRAYTON,507484.0,178825.0,507450,178850,51.4981656,-0.45295923,London,Hayes,307.0,Hayes,,,1.0,1.0,1,60,388,1.0
033712-09032023,09-Mar-23,2023,07:21:30,7,Special Service,Special Service,Suicide/attempts,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N19,0.0,21600615,E09000019,ISLINGTON,Islington,E05013705,HILLRISE,HILLRISE,,,529750,187250,,,London,Holloway,394.0,Holloway,671.0,Kentish Town,2.0,2.0,2,60,364,1.0
090505-21062023,21-Jun-23,2023,09:41:23,9,False Alarm,False alarm - Good intent,,Rail Vehicle,Passenger Train (national rail network) ,Railway land or rolling stock,W2 6BA,W2,100023485113.0,8401271,E09000033,WESTMINSTER,Westminster,E05013796,HYDE PARK,HYDE PARK,526370.0,181516.0,526350,181550,51.5184479,-0.180049557,London,Paddington,307.0,Paddington,,,1.0,1.0,1,60,388,1.0
000017-01012023,01-Jan-23,2023,00:12:02,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,SW11 5DB,SW11,121039002.0,22901110,E09000032,WANDSWORTH,Wandsworth,E05014010,BATTERSEA PARK,BATTERSEA PARK,528170.0,176493.0,528150,176450,51.47289798,-0.15594183,London,Battersea,466.0,Chelsea,,,1.0,1.0,1,60,364,1.0
047780-06042023,06-Apr-23,2023,15:27:23,15,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE1,0.0,22502606,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,,,531550,179750,,,London,Lambeth,384.0,Dowgate,,,1.0,1.0,1,60,388,1.0
048163-07042023,07-Apr-23,2023,11:24:01,11,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW10,0.0,20200645,E09000005,BRENT,Brent,E05013510,STONEBRIDGE,STONEBRIDGE,,,520550,185150,,,London,Wembley,432.0,Willesden,,,1.0,1.0,1,60,388,1.0
080409-05062023,05-Jun-23,2023,19:40:26,19,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Motorcycle ,In street outside gazetteer location,SW6 6LP,SW6,34025311.0,21000242,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,FULHAM REACH,FULHAM REACH,523760.0,177514.0,523750,177550,51.48305689,-0.219051478,London,Fulham,265.0,Hammersmith,,,1.0,1.0,1,60,388,1.0
013002-26012023,26-Jan-23,2023,21:45:58,21,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,HA1,0.0,21201079,E09000015,HARROW,Harrow,E05013546,GREENHILL,GREENHILL,,,515650,188750,,,London,Harrow,312.0,Harrow,373.0,Northolt,2.0,2.0,2,60,364,1.0
101632-08072023,08-Jul-23,2023,19:39:36,19,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE9 1UB,SE9,100023282381.0,20801733,E09000011,GREENWICH,Greenwich,E05014079,ELTHAM TOWN & AVERY HILL,ELTHAM TOWN & AVERY HILL,543532.0,174828.0,543550,174850,51.4542458,0.0644119,London,Eltham,192.0,Eltham,264.0,Sidcup,2.0,2.0,3,60,388,1.0
202198-24122023,24-Dec-23,2023,18:17:58,18,Special Service,Special Service,Removal of objects from people,Non Residential,Hospital ,Correct incident location,N19 5NF,N19,10090262687.0,21600568,E09000019,ISLINGTON,Islington,E05013707,JUNCTION,JUNCTION,529078.0,186930.0,529050,186950,51.5664823,-0.1390663,London,Kentish Town,380.0,Holloway,,,1.0,1.0,1,60,388,1.0
165815-23102023,23-Oct-23,2023,20:27:05,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E2,0.0,22701242,E09000030,TOWER HAMLETS,Tower Hamlets,E05009335,WEAVERS,WEAVERS,,,534050,182650,,,London,Bethnal Green,45.0,Bethnal Green,246.0,Homerton,2.0,2.0,3,60,388,1.0
140560-12092023,12-Sep-23,2023,01:25:35,1,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,N21,0.0,20704250,E09000010,ENFIELD,Enfield,E05013692,SOUTHGATE,SOUTHGATE,,,530650,194950,,,London,Southgate,257.0,Southgate,,,1.0,1.0,1,60,388,1.0
185304-25112023,25-Nov-23,2023,21:01:51,21,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,SM3,0.0,22601567,E09000029,SUTTON,Sutton,E05013760,NORTH CHEAM,NORTH CHEAM,,,524050,165250,,,London,Sutton,225.0,Sutton,,,1.0,1.0,1,60,388,1.0
014267-29012023,29-Jan-23,2023,12:06:12,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EN5,0.0,20012860,E09000003,BARNET,Barnet,E05013647,UNDERHILL,UNDERHILL,,,524750,195550,,,London,Barnet,281.0,Barnet,,,1.0,1.0,1,60,364,3.0
170984-01112023,01-Nov-23,2023,23:40:18,23,Special Service,Special Service,Advice Only,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E9,0.0,20900854,E09000012,HACKNEY,Hackney,E05009376,HOMERTON,HOMERTON,,,535450,184650,,,London,Homerton,327.0,Homerton,,,1.0,1.0,1,60,388,1.0
190339-04122023,04-Dec-23,2023,07:55:01,7,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,W5 5JN,W5,12004598.0,20601712,E09000009,EALING,Ealing,E05013520,EALING BROADWAY,EALING BROADWAY,517859.0,180771.0,517850,180750,51.513581,-0.3029146,London,Ealing,220.0,Ealing,,,1.0,1.0,1,60,388,1.0
064625-09052023,09-May-23,2023,06:47:44,6,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SE15,0.0,22501608,E09000028,SOUTHWARK,Southwark,E05011115,ST. GILES,ST. GILES,,,533750,176350,,,London,Peckham,396.0,Brixton,399.0,Brixton,1.0,2.0,2,60,388,1.0
165173-22102023,22-Oct-23,2023,17:54:08,17,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E15,0.0,22201657,E09000025,NEWHAM,Newham,E05013924,STRATFORD,STRATFORD,,,538250,183750,,,London,Stratford,259.0,Stratford,,,1.0,1.0,1,60,388,1.0
043089-28032023,28-Mar-23,2023,06:25:20,6,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,TW6 2GD,TW6,10059101552.0,21402983,E09000017,HILLINGDON,Hillingdon,E05013570,HEATHROW VILLAGES,HEATHROW VILLAGES,504992.0,175945.0,504950,175950,51.47274282,-0.489700053,London,Heathrow,439.0,Heathrow,,,1.0,1.0,1,60,364,1.0
140648-12092023,12-Sep-23,2023,07:57:42,7,Special Service,Special Service,Assist other agencies,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE15,0.0,22501941,E09000028,SOUTHWARK,Southwark,E05011113,RYE LANE,RYE LANE,,,534350,175850,,,London,Peckham,342.0,Peckham,,,1.0,1.0,1,60,388,2.0
073966-26052023,26-May-23,2023,14:26:22,14,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E2,0.0,22700551,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,BETHNAL GREEN,BETHNAL GREEN,,,535150,182950,,,London,Bethnal Green,397.0,Shadwell,572.0,Homerton,2.0,2.0,2,60,388,1.0
100312-06072023,06-Jul-23,2023,18:38:29,18,Special Service,Special Service,Effecting entry/exit,Non Residential,Single shop ,Correct incident location,W1U 5HS,W1U,10033538122.0,8401405,E09000033,WESTMINSTER,Westminster,E05013801,MARYLEBONE,MARYLEBONE,528368.0,181992.0,528350,181950,51.52226672,-0.151091302,London,Euston,98.0,Euston,,,1.0,1.0,1,60,388,1.0
006343-14012023,14-Jan-23,2023,14:20:42,14,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,On motorway / elevated road,CM14 5QR,CM14,10059203489.0,99990077,E09000016,HAVERING,Havering,E05013971,GOOSHAYS,GOOSHAYS,556202.0,193121.0,556250,193150,51.61525838,0.254738613,London,Harold Hill,377.0,Harold Hill,510.0,Romford,3.0,3.0,3,127,770,2.0
158566-11102023,11-Oct-23,2023,22:57:18,22,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Within same building,,CR7,0.0,20501490,E09000008,CROYDON,Croydon,E05011488,WEST THORNTON,WEST THORNTON,,,530750,167050,,,London,Norbury,299.0,Norbury,,,1.0,1.0,1,60,388,1.0
021790-12022023,12-Feb-23,2023,22:04:59,22,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,E14 8GH,E14,6359726.0,22700238,E09000030,TOWER HAMLETS,Tower Hamlets,E05009323,CANARY WHARF,CANARY WHARF,537190.0,179805.0,537150,179850,51.50054478,-0.024867226,London,Millwall,92.0,Millwall,,,1.0,1.0,1,60,364,2.0
017224-04022023,04-Feb-23,2023,02:57:29,2,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E1W,0.0,22700459,E09000030,TOWER HAMLETS,Tower Hamlets,E05009332,SHADWELL,SHADWELL,,,535450,180850,,,London,Shadwell,313.0,Shadwell,383.0,Whitechapel,2.0,2.0,2,60,364,1.0
157688-10102023,10-Oct-23,2023,15:13:09,15,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,CR0,0.0,20501159,E09000008,CROYDON,Croydon,E05011463,ADDISCOMBE WEST,ADDISCOMBE WEST,,,533550,166250,,,London,Woodside,276.0,Woodside,,,1.0,1.0,1,60,388,1.0
107522-18072023,18-Jul-23,2023,14:25:21,14,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,EN3,0.0,20702122,E09000010,ENFIELD,Enfield,E05013674,BRIMSDOWN,BRIMSDOWN,,,536150,196650,,,London,Enfield,473.0,Enfield,,,1.0,1.0,1,60,388,1.0
052817-16042023,16-Apr-23,2023,16:25:27,16,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,E1,0.0,22700054,E09000030,TOWER HAMLETS,Tower Hamlets,E05009332,SHADWELL,SHADWELL,,,535550,181150,,,London,Shadwell,179.0,Shadwell,232.0,Whitechapel,2.0,2.0,2,60,388,1.0
200172-21122023,21-Dec-23,2023,01:19:35,1,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,E11,0.0,22841550,E09000031,WALTHAM FOREST,Waltham Forest,E05013897,LEYTONSTONE,LEYTONSTONE,,,539650,187550,,,London,Leytonstone,297.0,Leytonstone,,,1.0,1.0,1,60,388,1.0
156594-08102023,08-Oct-23,2023,20:52:39,20,Special Service,Special Service,No action (not false alarm),Non Residential,Laundrette ,Correct incident location,UB10 8PB,UB10,100023413425.0,21400802,E09000017,HILLINGDON,Hillingdon,E05013573,ICKENHAM & SOUTH HAREFIELD,ICKENHAM & SOUTH HAREFIELD,507978.0,186026.0,507950,186050,51.56278902,-0.443636936,London,Ruislip,386.0,Hillingdon,,,1.0,1.0,1,60,388,2.0
104208-12072023,12-Jul-23,2023,23:57:37,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,BR1,0.0,20304308,E09000006,BROMLEY,Bromley,E05014004,PLAISTOW,PLAISTOW,,,540550,171050,,,London,Bromley,350.0,Bromley,358.0,Bromley,1.0,2.0,2,60,388,2.0
134757-03092023,03-Sep-23,2023,19:40:12,19,False Alarm,False alarm - Good intent,,Outdoor Structure,Barbecue,Correct incident location,N9 7RH,N9,207190423.0,20704240,E09000010,ENFIELD,Enfield,E05013684,JUBILEE,JUBILEE,534411.0,194718.0,534450,194750,51.6352212,-0.0591882,London,Edmonton,,,,,,,1,60,388,1.0
162702-18102023,18-Oct-23,2023,19:14:16,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SM5,0.0,22600893,E09000029,SUTTON,Sutton,E05013761,ST. HELIER EAST,ST. HELIER EAST,,,527550,166850,,,London,Mitcham,274.0,Mitcham,,,1.0,1.0,1,60,388,1.0
166465-25102023,25-Oct-23,2023,03:44:33,3,False Alarm,AFA,,Non Residential,Museum ,Correct incident location,DA5 1PQ,DA5,10011844956.0,20100173,E09000004,BEXLEY,Bexley,E05011222,CRAYFORD,CRAYFORD,550144.0,174320.0,550150,174350,51.44797205,0.159295823,London,Bexley,281.0,Bexley,,,1.0,1.0,1,60,388,2.0
063576-07052023,07-May-23,2023,08:33:02,8,False Alarm,AFA,,Non Residential,Bank/Building Society ,Correct incident location,SM6 0LY,SM6,5870121277.0,22605550,E09000029,SUTTON,Sutton,E05013771,WALLINGTON SOUTH,WALLINGTON SOUTH,528912.0,163755.0,528950,163750,51.35825514,-0.149894827,London,Wallington,154.0,Wallington,,,1.0,1.0,1,73,472,1.0
052750-16042023,16-Apr-23,2023,13:37:58,13,Special Service,Special Service,No action (not false alarm),Road Vehicle,Car ,In street outside gazetteer location,NW4 3FQ,NW4,200222118.0,20034920,E09000003,BARNET,Barnet,E05013649,WEST HENDON,WEST HENDON,523034.0,187760.0,523050,187750,51.57529826,-0.225931452,London,Hendon,400.0,Hendon,,,1.0,1.0,1,60,388,1.0
032935-07032023,07-Mar-23,2023,13:53:42,13,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N1,0.0,20950232,E09000012,HACKNEY,Hackney,E05009377,HOXTON EAST & SHOREDITCH,HOXTON EAST & SHOREDITCH,,,533350,183550,,,London,Shoreditch,461.0,Homerton,490.0,Dowgate,2.0,2.0,2,60,364,2.0
